,NOC,Year,F,M,FP
2019,VIE,1992,8.0,2.0,0.8
2020,VIE,1996,3.0,3.0,0.5
2021,VIE,2000,4.0,3.0,0.5714285714285714
2022,VIE,2004,5.0,6.0,0.45454545454545453
2023,VIE,2008,10.0,8.0,0.5555555555555556
2024,VIE,2012,16.0,8.0,0.6666666666666666
2025,VIE,2016,16.0,12.0,0.5714285714285714
2026,VIN,1988,1.0,5.0,0.16666666666666666
2027,VIN,1992,2.0,6.0,0.25
2028,VIN,1996,1.0,11.0,0.08333333333333333
2029,VIN,2000,2.0,2.0,0.5
2030,VIN,2004,1.0,2.0,0.3333333333333333
2031,VIN,2008,1.0,1.0,0.5
2032,VIN,2012,1.0,2.0,0.3333333333333333
2033,VIN,2016,2.0,2.0,0.5
2034,VNM,1968,2.0,7.0,0.2222222222222222
2035,YEM,2000,1.0,1.0,0.5
2036,YEM,2008,1.0,7.0,0.125
2037,YEM,2012,1.0,3.0,0.25
2038,YEM,2016,1.0,2.0,0.3333333333333333
2039,YUG,1936,15.0,158.0,0.08670520231213873
2040,YUG,1948,12.0,150.0,0.07407407407407407
2041,YUG,1952,58.0,136.0,0.29896907216494845
2042,YUG,1956,4.0,33.0,0.10810810810810811
2043,YUG,1960,22.0,163.0,0.11891891891891893
2044,YUG,1964,4.0,119.0,0.032520325203252036
2045,YUG,1968,24.0,106.0,0.18461538461538463
2046,YUG,1972,45.0,167.0,0.21226415094339623
2047,YUG,1976,5.0,90.0,0.05263157894736842
2048,YUG,1980,28.0,152.0,0.15555555555555556
2049,YUG,1984,35.0,119.0,0.22727272727272727
2050,YUG,1988,45.0,138.0,0.2459016393442623
2051,ZAM,1964,1.0,14.0,0.06666666666666667
2052,ZAM,1972,4.0,8.0,0.3333333333333333
2053,ZAM,1992,3.0,8.0,0.2727272727272727
2054,ZAM,1996,1.0,7.0,0.125
2055,ZAM,2000,2.0,6.0,0.25
2056,ZAM,2004,2.0,4.0,0.3333333333333333
2057,ZAM,2008,2.0,6.0,0.25
2058,ZAM,2012,2.0,5.0,0.2857142857142857
2059,ZAM,2016,2.0,5.0,0.2857142857142857
2060,ZIM,1964,6.0,27.0,0.18181818181818182
2061,ZIM,1980,22.0,30.0,0.4230769230769231
2062,ZIM,1984,3.0,17.0,0.15
2063,ZIM,1988,9.0,38.0,0.19148936170212766
2064,ZIM,1992,12.0,16.0,0.42857142857142855
2065,ZIM,1996,3.0,18.0,0.14285714285714285
2066,ZIM,2000,8.0,18.0,0.3076923076923077
2067,ZIM,2004,5.0,9.0,0.35714285714285715
2068,ZIM,2008,8.0,8.0,0.5
2069,ZIM,2012,5.0,4.0,0.5555555555555556
2070,ZIM,2016,22.0,9.0,0.7096774193548387
