Sport,Year,Age,Height,Weight,BMI
Alpine Skiing,1936,23.21212121212121,172.83333333333334,71.0,1.6709315593066194
Alpine Skiing,1948,23.916666666666668,171.9655172413793,68.85714285714286,1.6368978663324956
Alpine Skiing,1952,24.49003984063745,174.38235294117646,70.1875,1.6225946213302003
Alpine Skiing,1956,24.92468619246862,171.66666666666666,69.68181818181819,1.662274912381426
Alpine Skiing,1960,23.1968085106383,171.3181818181818,68.43939393939394,1.6392853843465625
Alpine Skiing,1964,22.488636363636363,172.71938775510205,71.33419689119171,1.6810124170303165
Alpine Skiing,1968,22.985294117647058,173.9320754716981,71.76037735849057,1.6675569712161733
Alpine Skiing,1972,22.228426395939085,174.70833333333334,70.33163265306122,1.6198648541374263
Alpine Skiing,1976,21.421875,174.13223140495867,70.88429752066116,1.6434141962211979
Alpine Skiing,1980,21.642156862745097,175.41666666666666,72.79166666666667,1.6630116056668607
Alpine Skiing,1984,21.656370656370655,176.9318181818182,73.56502242152466,1.6520181554926814
Alpine Skiing,1988,22.705882352941178,179.24081632653062,78.18367346938776,1.7107934176428743
Alpine Skiing,1992,23.23926380368098,178.8151815181518,80.01320132013201,1.7591715631222589
Alpine Skiing,1994,23.986577181208055,179.08759124087592,81.78467153284672,1.7926530670387695
Alpine Skiing,1998,25.280632411067195,178.8217391304348,83.6969696969697,1.8400279957908054
Alpine Skiing,2002,25.135048231511256,179.62214983713355,84.55681818181819,1.8424010708931005
Alpine Skiing,2006,25.014204545454547,180.51436781609195,83.55202312138728,1.8025559171076275
Alpine Skiing,2010,26.11548556430446,180.9736147757256,83.87267904509284,1.8003018103913333
Alpine Skiing,2014,25.158854166666668,180.30585106382978,82.35849056603773,1.7809185731374861
Biathlon,1960,28.133333333333333,176.2,73.77777777777777,1.6705869586908446
Biathlon,1964,26.980392156862745,174.29545454545453,70.76744186046511,1.63763344497416
Biathlon,1968,26.95689655172414,176.11607142857142,72.04910714285714,1.632999116816943
Biathlon,1972,27.735849056603772,175.61320754716982,70.10849056603773,1.5981281128864142
Biathlon,1976,26.508928571428573,177.0215053763441,71.03296703296704,1.5935409242028398
Biathlon,1980,25.71518987341772,177.98275862068965,71.73275862068965,1.5919044261049116
Biathlon,1984,24.46153846153846,179.10919540229884,72.83908045977012,1.5961878975983939
Biathlon,1988,24.743961352657006,178.80838323353294,72.55089820359281,1.5952265377252142
Biathlon,1992,25.496323529411764,178.4909090909091,72.05681818181819,1.5900039493745006
Biathlon,1994,26.376190476190477,178.95098039215685,72.78676470588235,1.5978631341146068
