Sport,Year,Age,Height,Weight,BMI
Canoeing,1960,25.494318181818183,177.4659090909091,75.0965909090909,1.676276555190674
Canoeing,1964,24.76865671641791,178.544776119403,76.26865671641791,1.6819269377375525
Canoeing,1968,25.392857142857142,179.5654761904762,77.01190476190476,1.6790649925896368
Canoeing,1972,24.953020134228186,178.8288590604027,75.70875420875421,1.6642793073702522
Canoeing,1976,24.478114478114477,180.27609427609428,78.11952861952862,1.6898130442305939
Canoeing,1980,24.3963133640553,182.23041474654377,80.27906976744185,1.6994794961213673
Canoeing,1984,24.36864406779661,180.57939914163092,79.29956896551724,1.7095812439713522
Canoeing,1988,24.0625,182.53496503496504,81.44405594405595,1.7183933550993102
Canoeing,1992,25.0,181.30281690140845,79.53169014084507,1.7009299695638245
Canoeing,1996,25.443645083932854,182.16995073891624,80.66502463054188,1.7087837839555988
Canoeing,2000,26.12463768115942,182.36231884057972,81.81739130434782,1.7295405210506896
Canoeing,2004,26.145962732919255,182.24844720496895,82.3944099378882,1.7439153464602044
Canoeing,2008,26.186708860759495,182.79299363057325,82.86075949367088,1.7433522390937943
Canoeing,2012,26.535849056603773,182.4318181818182,82.26136363636364,1.737600994674616
Canoeing,2016,26.942652329749105,182.42652329749103,82.82795698924731,1.7496706692792456
Cycling,1906,22.694915254237287,178.0,67.58333333333333,1.4995292050667004
Cycling,1908,23.976047904191617,179.3125,72.76923076923077,1.5910432225875455
Cycling,1920,24.842105263157894,171.22727272727272,71.25,1.7084186939392147
Cycling,1924,24.5,175.85714285714286,76.0,1.7276226588911816
Cycling,1928,22.63005780346821,171.8695652173913,70.6923076923077,1.6824010373065679
Cycling,1932,22.85148514851485,171.81578947368422,70.0,1.6669678391640803
Cycling,1936,22.825503355704697,175.5,70.6,1.611408998303585
Cycling,1948,24.317164179104477,175.0,72.94117647058823,1.6743721488595438
Cycling,1952,22.881720430107528,175.66666666666666,72.6896551724138,1.6559575999476543
Cycling,1956,23.560165975103736,175.40506329113924,70.80281690140845,1.6177880017874309
Cycling,1960,23.09903381642512,174.6042654028436,69.73508353221958,1.6080403892264028
Cycling,1964,23.262921348314606,174.3046511627907,69.97429906542057,1.6191084144170018
Cycling,1968,23.313278008298756,176.20833333333334,71.35104166666666,1.6154843531313052
Cycling,1972,23.226235741444867,176.44594594594594,71.51169590643275,1.6147639077495142
Cycling,1976,23.594240837696336,176.80327868852459,71.8415300546448,1.6156611025962486
Cycling,1980,23.09491525423729,177.4671052631579,71.07236842105263,1.586428058108244
Cycling,1984,23.335731414868107,177.80310880829015,71.73560209424083,1.5951861582488067
Cycling,1988,23.20045045045045,178.0917225950783,71.96825396825396,1.595176790262982
Cycling,1992,23.605995717344754,178.15022421524662,72.0139211136891,1.5951408502187812
Cycling,1996,25.933962264150942,179.19306930693068,72.5,1.5872703907416104
Cycling,2000,27.333333333333332,179.31485587583148,73.4478935698448,1.6058394658409685
Cycling,2004,27.356502242152466,180.0067264573991,73.66591928251121,1.5982491044341711
Cycling,2008,26.852564102564102,180.2819956616052,74.1086956521739,1.6029492798485587
Cycling,2012,27.08268733850129,180.19689119170985,74.46113989637306,1.6120942061326087
Cycling,2016,27.085,179.66919191919192,73.55949367088607,1.6019421447545679
Diving,1906,26.894736842105264,174.0,76.0,1.7646981107147577
Diving,1908,24.35483870967742,170.5,76.0,1.8378926909813296
Diving,1912,24.619718309859156,170.1,76.0,1.8465466763853333
Diving,1920,24.40909090909091,166.5,68.0,1.724391057724391
Diving,1924,24.40909090909091,171.71428571428572,71.5,1.7047021602930226
Diving,1952,25.078125,168.88888888888889,70.4,1.735105263157895
Diving,1956,22.94871794871795,168.8235294117647,65.38461538461539,1.612742191096912
Diving,1960,22.089285714285715,170.73214285714286,66.18181818181819,1.5961122721440686
Diving,1964,22.385964912280702,170.19298245614036,66.16666666666667,1.605873322900015
Diving,1968,22.571428571428573,172.69354838709677,67.84677419354838,1.5993087098361407
Diving,1972,22.238805970149254,172.66153846153847,67.8076923076923,1.5989801662773115
Diving,1976,21.81132075471698,172.76923076923077,67.6923076923077,1.5942698962596216
Diving,1980,22.711111111111112,174.30434782608697,68.6304347826087,1.5880187823841854
Diving,1984,22.074074074074073,171.94444444444446,66.91666666666667,1.591158077152946
Diving,1988,22.65573770491803,172.67924528301887,67.97169811320755,1.6025189034973442
Diving,1992,22.69090909090909,171.47727272727272,66.93181818181819,1.6002020130157868
Diving,1996,22.513157894736842,171.60377358490567,67.75471698113208,1.6174884677376211
Diving,2000,22.691056910569106,171.0081300813008,65.72357723577235,1.5799487590731927
Diving,2004,23.690721649484537,171.41237113402062,68.0,1.6269713775404215
Diving,2008,23.065934065934066,171.4065934065934,67.4065934065934,1.6128822296170249
Diving,2012,23.043010752688172,170.90322580645162,65.57608695652173,1.5783390540739755
Diving,2016,23.89887640449438,171.97752808988764,66.84269662921348,1.588787749894316
Equestrianism,1912,32.6890756302521,176.0909090909091,63.0,1.4283084428469424
Equestrianism,1924,32.39664804469274,172.66666666666666,66.14285714285714,1.5596288708533608
Equestrianism,1928,36.73364485981308,172.0,65.4,1.5540900486749596
Equestrianism,1936,35.48046875,171.375,68.25,1.6336651520157306
Equestrianism,1948,37.28813559322034,171.55555555555554,65.9375,1.5749915528353113
Equestrianism,1952,34.84033613445378,174.9811320754717,69.49019607843137,1.595498566087429
Equestrianism,1956,34.276595744680854,175.5,69.95918367346938,1.596782692427788
Equestrianism,1960,32.68679245283019,174.0909090909091,68.51012145748987,1.5891243273969995
Equestrianism,1964,32.507462686567166,174.52238805970148,68.44278606965175,1.5797221619578452
Equestrianism,1968,32.39267015706806,175.50267379679144,69.87700534759358,1.5948584173526945
Equestrianism,1972,31.925650557620816,174.71372549019608,69.35686274509804,1.597315538213827
Equestrianism,1976,32.159203980099505,175.18367346938774,69.57142857142857,1.593672168750201
Equestrianism,1980,32.242990654205606,173.29906542056074,69.33644859813084,1.6230222632898206
Equestrianism,1984,31.015544041450777,177.45212765957447,70.3716577540107,1.571052452628463
Equestrianism,1988,31.99111111111111,177.58482142857142,70.59375,1.5736563255545049
Equestrianism,1992,33.537366548042705,177.5162454873646,72.05454545454545,1.6074612041616847
Equestrianism,1996,34.809128630705395,177.29694323144105,72.61572052401746,1.6239904834797925
Equestrianism,2000,36.61025641025641,176.78974358974358,71.56410256410257,1.6096684158809003
Equestrianism,2004,35.59683794466403,178.7588932806324,73.21343873517786,1.6106857488802302
Equestrianism,2008,37.430622009569376,178.4927536231884,72.6829268292683,1.6037864997828437
Equestrianism,2012,39.08715596330275,178.23831775700936,72.83568075117371,1.6117488148973325
Equestrianism,2016,38.236607142857146,179.57272727272726,73.44545454545455,1.601177544753338
Fencing,1900,30.52238805970149,170.5,75.0,1.813709892415786
Fencing,1906,29.43801652892562,177.0,79.0,1.7727026078074626
Fencing,1908,29.403141361256544,181.75,80.0,1.7025366630780903
Fencing,1912,30.904605263157894,177.47058823529412,81.0,1.807954790273084
Fencing,1920,33.443729903536976,177.28947368421052,76.52941176470588,1.7116611706610168
Fencing,1924,33.879629629629626,175.39705882352942,74.81818181818181,1.7096919308459395
Fencing,1928,33.503125,176.58064516129033,76.14285714285714,1.7167153703628515
Fencing,1932,29.72289156626506,173.11111111111111,76.8125,1.8019276002692632
Fencing,1936,30.46530612244898,175.5,77.20833333333333,1.7622408367897446
Fencing,1948,34.91604938271605,175.39240506329114,75.85964912280701,1.7335827938016808
Fencing,1952,31.613247863247864,178.2017543859649,75.53181818181818,1.6720964060228345
Fencing,1956,30.125,178.16556291390728,73.8112582781457,1.634671177650788
Fencing,1960,28.23155737704918,177.48478260869564,72.55434782608695,1.6191851860109756
Fencing,1964,28.508860759493672,177.4765625,72.07291666666667,1.6085901529315143
Fencing,1968,27.497512437810947,178.91603053435114,74.22900763358778,1.6301608954474456
Fencing,1972,26.723880597014926,180.07692307692307,75.03076923076924,1.6265918846132164
Fencing,1976,26.1747311827957,180.44444444444446,74.34552845528455,1.6051778081052028
Fencing,1980,24.763485477178424,180.75105485232066,74.11392405063292,1.594753089422257
Fencing,1984,25.71951219512195,180.90965732087227,74.1588785046729,1.5929237094121524
Fencing,1988,26.376884422110553,181.12562814070353,75.1526717557252,1.6104229114500743
Fencing,1992,26.50284090909091,182.1551724137931,76.86219081272085,1.6284898963908507
Fencing,1996,27.316239316239315,182.42857142857142,78.86124401913875,1.6658398009278506
Fencing,2000,27.67906976744186,183.28301886792454,79.3175355450237,1.659892940297766
Fencing,2004,25.480392156862745,182.905,78.495,1.6494766166632302
Fencing,2008,27.077380952380953,184.17177914110428,79.7125,1.6520971728236031
Fencing,2012,26.391812865497077,183.45562130177515,77.93452380952381,1.627882910470671
Fencing,2016,28.232558139534884,183.73099415204678,79.13450292397661,1.6479967610353112
Figure Skating,1920,34.5,174.0,73.0,1.6950389747654908
Football,1908,23.126984126984127,182.0,99.0,2.1011049390170267
Football,1912,22.759493670886076,173.88235294117646,72.6,1.6880329862795973
Football,1920,24.386904761904763,174.91666666666666,75.18181818181819,1.7274511077967023
Football,1924,24.315573770491802,173.33333333333334,72.03333333333333,1.685484097633136
Football,1928,24.619791666666668,173.02857142857144,72.1875,1.6950467562683338
Football,1936,24.45771144278607,173.1818181818182,71.5,1.6759334807558504
Football,1948,26.0,174.84848484848484,74.03846153846153,1.7025072278057898
Football,1952,25.474452554744527,174.75925925925927,72.23958333333333,1.6628388663777673
Football,1956,25.52212389380531,176.21621621621622,70.81818181818181,1.6032762314419742
